Founders Demo Co,,,,,,,,
General Ledger,,,,,,,,
January 1, 2024 - December 31, 2026,,,,,,,,
,02/05/2025,Invoice,1145,Customer,Monthly product sales,4000 Product Revenue,20678.00,77909.00
,02/06/2025,Invoice,1146,Client,Consulting engagement,4100 Consulting Revenue,8271.00,86180.00
,02/20/2025,Payment,1147,Customer,Customer payments,1000 Checking,-23738.00,62442.00
,03/05/2025,Invoice,1156,Customer,Monthly product sales,4000 Product Revenue,21195.00,83637.00
,03/06/2025,Invoice,1157,Client,Consulting engagement,4100 Consulting Revenue,8478.00,92115.00
,03/20/2025,Payment,1158,Customer,Customer payments,1000 Checking,-24332.00,67783.00
,04/05/2025,Invoice,1167,Customer,Monthly product sales,4000 Product Revenue,21724.00,89507.00
,04/06/2025,Invoice,1168,Client,Consulting engagement,4100 Consulting Revenue,8690.00,98197.00
,04/20/2025,Payment,1169,Customer,Customer payments,1000 Checking,-24939.00,73258.00
,05/05/2025,Invoice,1178,Customer,Monthly product sales,4000 Product Revenue,22268.00,95526.00
,05/06/2025,Invoice,1179,Client,Consulting engagement,4100 Consulting Revenue,8907.00,104433.00
,05/20/2025,Payment,1180,Customer,Customer payments,1000 Checking,-25564.00,78869.00
,06/05/2025,Invoice,1189,Customer,Monthly product sales,4000 Product Revenue,22824.00,101693.00
,06/06/2025,Invoice,1190,Client,Consulting engagement,4100 Consulting Revenue,9130.00,110823.00
,06/20/2025,Payment,1191,Customer,Customer payments,1000 Checking,-26202.00,84621.00
,07/05/2025,Invoice,1200,Customer,Monthly product sales,4000 Product Revenue,23395.00,108016.00
,07/06/2025,Invoice,1201,Client,Consulting engagement,4100 Consulting Revenue,9358.00,117374.00
,07/20/2025,Payment,1202,Customer,Customer payments,1000 Checking,-26857.00,90517.00
,08/05/2025,Invoice,1211,Customer,Monthly product sales,4000 Product Revenue,23980.00,114497.00
,08/06/2025,Invoice,1212,Client,Consulting engagement,4100 Consulting Revenue,9592.00,124089.00
,08/20/2025,Payment,1213,Customer,Customer payments,1000 Checking,-27529.00,96560.00
,09/05/2025,Invoice,1222,Customer,Monthly product sales,4000 Product Revenue,24579.00,121139.00
,09/06/2025,Invoice,1223,Client,Consulting engagement,4100 Consulting Revenue,9832.00,130971.00
,09/20/2025,Payment,1224,Customer,Customer payments,1000 Checking,-28217.00,102754.00
,10/05/2025,Invoice,1233,Customer,Monthly product sales,4000 Product Revenue,25194.00,127948.00
,10/06/2025,Invoice,1234,Client,Consulting engagement,4100 Consulting Revenue,10077.00,138025.00
,10/20/2025,Payment,1235,Customer,Customer payments,1000 Checking,-28922.00,109103.00
,11/05/2025,Invoice,1244,Customer,Monthly product sales,4000 Product Revenue,25824.00,134927.00
,11/06/2025,Invoice,1245,Client,Consulting engagement,4100 Consulting Revenue,10329.00,145256.00
,11/20/2025,Payment,1246,Customer,Customer payments,1000 Checking,-29645.00,115611.00
,12/05/2025,Invoice,1255,Customer,Monthly product sales,4000 Product Revenue,26469.00,142080.00
,12/06/2025,Invoice,1256,Client,Consulting engagement,4100 Consulting Revenue,10588.00,152668.00
,12/20/2025,Payment,1257,Customer,Customer payments,1000 Checking,-30387.00,122281.00
,01/05/2026,Invoice,1266,Customer,Monthly product sales,4000 Product Revenue,27131.00,149412.00
,01/06/2026,Invoice,1267,Client,Consulting engagement,4100 Consulting Revenue,10852.00,160264.00
,01/20/2026,Payment,1268,Customer,Customer payments,1000 Checking,-31146.00,129118.00
,02/05/2026,Invoice,1277,Customer,Monthly product sales,4000 Product Revenue,27809.00,156927.00
,02/06/2026,Invoice,1278,Client,Consulting engagement,4100 Consulting Revenue,11124.00,168051.00
,02/20/2026,Payment,1279,Customer,Customer payments,1000 Checking,-31925.00,136126.00
,03/05/2026,Invoice,1288,Customer,Monthly product sales,4000 Product Revenue,28504.00,164630.00
,03/06/2026,Invoice,1289,Client,Consulting engagement,4100 Consulting Revenue,11402.00,176032.00
,03/20/2026,Payment,1290,Customer,Customer payments,1000 Checking,-32723.00,143309.00
,04/05/2026,Invoice,1299,Customer,Monthly product sales,4000 Product Revenue,29217.00,172526.00
,04/06/2026,Invoice,1300,Client,Consulting engagement,4100 Consulting Revenue,11687.00,184213.00
,04/20/2026,Payment,1301,Customer,Customer payments,1000 Checking,-33541.00,150672.00
,05/05/2026,Invoice,1310,Customer,Monthly product sales,4000 Product Revenue,29947.00,180619.00
,05/06/2026,Invoice,1311,Client,Consulting engagement,4100 Consulting Revenue,11979.00,192598.00
,05/20/2026,Payment,1312,Customer,Customer payments,1000 Checking,-34379.00,158219.00
,06/05/2026,Invoice,1321,Customer,Monthly product sales,4000 Product Revenue,30696.00,188915.00
,06/06/2026,Invoice,1322,Client,Consulting engagement,4100 Consulting Revenue,12278.00,201193.00
,06/20/2026,Payment,1323,Customer,Customer payments,1000 Checking,-35239.00,165954.00
,07/05/2026,Invoice,1332,Customer,Monthly product sales,4000 Product Revenue,31464.00,197418.00
,07/06/2026,Invoice,1333,Client,Consulting engagement,4100 Consulting Revenue,12585.00,210003.00
,07/20/2026,Payment,1334,Customer,Customer payments,1000 Checking,-36120.00,173883.00
,08/05/2026,Invoice,1343,Customer,Monthly product sales,4000 Product Revenue,32250.00,206133.00
,08/06/2026,Invoice,1344,Client,Consulting engagement,4100 Consulting Revenue,12900.00,219033.00
,08/20/2026,Payment,1345,Customer,Customer payments,1000 Checking,-37023.00,182010.00
,09/05/2026,Invoice,1354,Customer,Monthly product sales,4000 Product Revenue,33056.00,215066.00
,09/06/2026,Invoice,1355,Client,Consulting engagement,4100 Consulting Revenue,13223.00,228289.00
,09/20/2026,Payment,1356,Customer,Customer payments,1000 Checking,-37949.00,190340.00
,10/05/2026,Invoice,1365,Customer,Monthly product sales,4000 Product Revenue,33883.00,224223.00
,10/06/2026,Invoice,1366,Client,Consulting engagement,4100 Consulting Revenue,13553.00,237776.00
,10/20/2026,Payment,1367,Customer,Customer payments,1000 Checking,-38898.00,198878.00
,11/05/2026,Invoice,1376,Customer,Monthly product sales,4000 Product Revenue,34730.00,233608.00
,11/06/2026,Invoice,1377,Client,Consulting engagement,4100 Consulting Revenue,13892.00,247500.00
,11/20/2026,Payment,1378,Customer,Customer payments,1000 Checking,-39870.00,207630.00
,12/05/2026,Invoice,1387,Customer,Monthly product sales,4000 Product Revenue,35598.00,243228.00
,12/06/2026,Invoice,1388,Client,Consulting engagement,4100 Consulting Revenue,14239.00,257467.00
,12/20/2026,Payment,1389,Customer,Customer payments,1000 Checking,-40866.00,216601.00
Total for 1200 Accounts Receivable,,,,,,,216601.00,216601.00
1500 Equipment,,,,,,,,
,03/10/2024,Check,1398,Vendor,Equipment purchase,1000 Checking,9000.00,9000.00
,06/10/2025,Check,1399,Vendor,Equipment purchase,1000 Checking,12000.00,21000.00
,09/10/2026,Check,1400,Vendor,Equipment purchase,1000 Checking,15000.00,36000.00
Total for 1500 Equipment,,,,,,,36000.00,36000.00
2000 Accounts Payable,,,,,,,,
,01/08/2024,Bill,1005,Supplier,Inventory / materials,5000 Cost of Goods Sold,-6300.00,-6300.00
,01/24/2024,Bill Payment,1006,Supplier,Pay vendor,1000 Checking,5040.00,-1260.00
,02/08/2024,Bill,1016,Supplier,Inventory / materials,5000 Cost of Goods Sold,-6458.00,-7718.00
,02/24/2024,Bill Payment,1017,Supplier,Pay vendor,1000 Checking,5166.00,-2552.00
,03/08/2024,Bill,1027,Supplier,Inventory / materials,5000 Cost of Goods Sold,-6619.00,-9171.00
,03/24/2024,Bill Payment,1028,Supplier,Pay vendor,1000 Checking,5295.00,-3876.00
,04/08/2024,Bill,1038,Supplier,Inventory / materials,5000 Cost of Goods Sold,-6784.00,-10660.00
,04/24/2024,Bill Payment,1039,Supplier,Pay vendor,1000 Checking,5427.00,-5233.00
,05/08/2024,Bill,1049,Supplier,Inventory / materials,5000 Cost of Goods Sold,-6954.00,-12187.00
,05/24/2024,Bill Payment,1050,Supplier,Pay vendor,1000 Checking,5563.00,-6624.00
,06/08/2024,Bill,1060,Supplier,Inventory / materials,5000 Cost of Goods Sold,-7128.00,-13752.00
,06/24/2024,Bill Payment,1061,Supplier,Pay vendor,1000 Checking,5702.00,-8050.00
,07/08/2024,Bill,1071,Supplier,Inventory / materials,5000 Cost of Goods Sold,-7306.00,-15356.00
,07/24/2024,Bill Payment,1072,Supplier,Pay vendor,1000 Checking,5845.00,-9511.00
,08/08/2024,Bill,1082,Supplier,Inventory / materials,5000 Cost of Goods Sold,-7489.00,-17000.00
,08/24/2024,Bill Payment,1083,Supplier,Pay vendor,1000 Checking,5991.00,-11009.00
,09/08/2024,Bill,1093,Supplier,Inventory / materials,5000 Cost of Goods Sold,-7676.00,-18685.00
,09/24/2024,Bill Payment,1094,Supplier,Pay vendor,1000 Checking,6141.00,-12544.00
,10/08/2024,Bill,1104,Supplier,Inventory / materials,5000 Cost of Goods Sold,-7868.00,-20412.00
,10/24/2024,Bill Payment,1105,Supplier,Pay vendor,1000 Checking,6294.00,-14118.00
,11/08/2024,Bill,1115,Supplier,Inventory / materials,5000 Cost of Goods Sold,-8064.00,-22182.00
,11/24/2024,Bill Payment,1116,Supplier,Pay vendor,1000 Checking,6451.00,-15731.00
,12/08/2024,Bill,1126,Supplier,Inventory / materials,5000 Cost of Goods Sold,-8266.00,-23997.00
,12/24/2024,Bill Payment,1127,Supplier,Pay vendor,1000 Checking,6613.00,-17384.00
,01/08/2025,Bill,1137,Supplier,Inventory / materials,5000 Cost of Goods Sold,-8473.00,-25857.00
,01/24/2025,Bill Payment,1138,Supplier,Pay vendor,1000 Checking,6778.00,-19079.00
,02/08/2025,Bill,1148,Supplier,Inventory / materials,5000 Cost of Goods Sold,-8685.00,-27764.00
,02/24/2025,Bill Payment,1149,Supplier,Pay vendor,1000 Checking,6948.00,-20816.00
,03/08/2025,Bill,1159,Supplier,Inventory / materials,5000 Cost of Goods Sold,-8902.00,-29718.00
,03/24/2025,Bill Payment,1160,Supplier,Pay vendor,1000 Checking,7122.00,-22596.00
,04/08/2025,Bill,1170,Supplier,Inventory / materials,5000 Cost of Goods Sold,-9124.00,-31720.00
,04/24/2025,Bill Payment,1171,Supplier,Pay vendor,1000 Checking,7299.00,-24421.00
,05/08/2025,Bill,1181,Supplier,Inventory / materials,5000 Cost of Goods Sold,-9353.00,-33774.00
,05/24/2025,Bill Payment,1182,Supplier,Pay vendor,1000 Checking,7482.00,-26292.00
,06/08/2025,Bill,1192,Supplier,Inventory / materials,5000 Cost of Goods Sold,-9586.00,-35878.00
,06/24/2025,Bill Payment,1193,Supplier,Pay vendor,1000 Checking,7669.00,-28209.00
,07/08/2025,Bill,1203,Supplier,Inventory / materials,5000 Cost of Goods Sold,-9826.00,-38035.00
,07/24/2025,Bill Payment,1204,Supplier,Pay vendor,1000 Checking,7861.00,-30174.00
,08/08/2025,Bill,1214,Supplier,Inventory / materials,5000 Cost of Goods Sold,-10072.00,-40246.00
,08/24/2025,Bill Payment,1215,Supplier,Pay vendor,1000 Checking,8058.00,-32188.00
,09/08/2025,Bill,1225,Supplier,Inventory / materials,5000 Cost of Goods Sold,-10323.00,-42511.00
,09/24/2025,Bill Payment,1226,Supplier,Pay vendor,1000 Checking,8258.00,-34253.00
,10/08/2025,Bill,1236,Supplier,Inventory / materials,5000 Cost of Goods Sold,-10581.00,-44834.00
,10/24/2025,Bill Payment,1237,Supplier,Pay vendor,1000 Checking,8465.00,-36369.00
,11/08/2025,Bill,1247,Supplier,Inventory / materials,5000 Cost of Goods Sold,-10846.00,-47215.00
,11/24/2025,Bill Payment,1248,Supplier,Pay vendor,1000 Checking,8677.00,-38538.00
,12/08/2025,Bill,1258,Supplier,Inventory / materials,5000 Cost of Goods Sold,-11117.00,-49655.00
,12/24/2025,Bill Payment,1259,Supplier,Pay vendor,1000 Checking,8894.00,-40761.00
,01/08/2026,Bill,1269,Supplier,Inventory / materials,5000 Cost of Goods Sold,-11395.00,-52156.00
,01/24/2026,Bill Payment,1270,Supplier,Pay vendor,1000 Checking,9116.00,-43040.00
,02/08/2026,Bill,1280,Supplier,Inventory / materials,5000 Cost of Goods Sold,-11680.00,-54720.00
,02/24/2026,Bill Payment,1281,Supplier,Pay vendor,1000 Checking,9344.00,-45376.00
,03/08/2026,Bill,1291,Supplier,Inventory / materials,5000 Cost of Goods Sold,-11972.00,-57348.00
,03/24/2026,Bill Payment,1292,Supplier,Pay vendor,1000 Checking,9578.00,-47770.00
,04/08/2026,Bill,1302,Supplier,Inventory / materials,5000 Cost of Goods Sold,-12271.00,-60041.00
,04/24/2026,Bill Payment,1303,Supplier,Pay vendor,1000 Checking,9817.00,-50224.00
,05/08/2026,Bill,1313,Supplier,Inventory / materials,5000 Cost of Goods Sold,-12578.00,-62802.00
,05/24/2026,Bill Payment,1314,Supplier,Pay vendor,1000 Checking,10062.00,-52740.00
,06/08/2026,Bill,1324,Supplier,Inventory / materials,5000 Cost of Goods Sold,-12892.00,-65632.00
,06/24/2026,Bill Payment,1325,Supplier,Pay vendor,1000 Checking,10314.00,-55318.00
,07/08/2026,Bill,1335,Supplier,Inventory / materials,5000 Cost of Goods Sold,-13215.00,-68533.00
,07/24/2026,Bill Payment,1336,Supplier,Pay vendor,1000 Checking,10572.00,-57961.00
,08/08/2026,Bill,1346,Supplier,Inventory / materials,5000 Cost of Goods Sold,-13545.00,-71506.00
,08/24/2026,Bill Payment,1347,Supplier,Pay vendor,1000 Checking,10836.00,-60670.00
,09/08/2026,Bill,1357,Supplier,Inventory / materials,5000 Cost of Goods Sold,-13884.00,-74554.00
,09/24/2026,Bill Payment,1358,Supplier,Pay vendor,1000 Checking,11107.00,-63447.00
,10/08/2026,Bill,1368,Supplier,Inventory / materials,5000 Cost of Goods Sold,-14231.00,-77678.00
,10/24/2026,Bill Payment,1369,Supplier,Pay vendor,1000 Checking,11385.00,-66293.00
,11/08/2026,Bill,1379,Supplier,Inventory / materials,5000 Cost of Goods Sold,-14587.00,-80880.00
,11/24/2026,Bill Payment,1380,Supplier,Pay vendor,1000 Checking,11670.00,-69210.00
,12/08/2026,Bill,1390,Supplier,Inventory / materials,5000 Cost of Goods Sold,-14951.00,-84161.00
,12/24/2026,Bill Payment,1391,Supplier,Pay vendor,1000 Checking,11961.00,-72200.00
Total for 2000 Accounts Payable,,,,,,,-72200.00,-72200.00
2100 Credit Card,,,,,,,,
,01/12/2024,Credit Card Charge,1009,Ads,Advertising,6200 Marketing Expense,-1300.00,-1300.00
,01/28/2024,Credit Card Payment,1010,Card,Pay card,1000 Checking,1170.00,-130.00
,02/12/2024,Credit Card Charge,1020,Ads,Advertising,6200 Marketing Expense,-1339.00,-1469.00
,02/28/2024,Credit Card Payment,1021,Card,Pay card,1000 Checking,1205.00,-264.00
,03/12/2024,Credit Card Charge,1031,Ads,Advertising,6200 Marketing Expense,-1379.00,-1643.00
,03/28/2024,Credit Card Payment,1032,Card,Pay card,1000 Checking,1241.00,-402.00
,04/12/2024,Credit Card Charge,1042,Ads,Advertising,6200 Marketing Expense,-1421.00,-1823.00
,04/28/2024,Credit Card Payment,1043,Card,Pay card,1000 Checking,1279.00,-544.00
,05/12/2024,Credit Card Charge,1053,Ads,Advertising,6200 Marketing Expense,-1463.00,-2007.00
,05/28/2024,Credit Card Payment,1054,Card,Pay card,1000 Checking,1317.00,-690.00
,06/12/2024,Credit Card Charge,1064,Ads,Advertising,6200 Marketing Expense,-1507.00,-2197.00
,06/28/2024,Credit Card Payment,1065,Card,Pay card,1000 Checking,1356.00,-841.00
,07/12/2024,Credit Card Charge,1075,Ads,Advertising,6200 Marketing Expense,-1552.00,-2393.00
,07/28/2024,Credit Card Payment,1076,Card,Pay card,1000 Checking,1397.00,-996.00
,08/12/2024,Credit Card Charge,1086,Ads,Advertising,6200 Marketing Expense,-1599.00,-2595.00
,08/28/2024,Credit Card Payment,1087,Card,Pay card,1000 Checking,1439.00,-1156.00
,09/12/2024,Credit Card Charge,1097,Ads,Advertising,6200 Marketing Expense,-1647.00,-2803.00
,09/28/2024,Credit Card Payment,1098,Card,Pay card,1000 Checking,1482.00,-1321.00
,10/12/2024,Credit Card Charge,1108,Ads,Advertising,6200 Marketing Expense,-1696.00,-3017.00
,10/28/2024,Credit Card Payment,1109,Card,Pay card,1000 Checking,1526.00,-1491.00
,11/12/2024,Credit Card Charge,1119,Ads,Advertising,6200 Marketing Expense,-1747.00,-3238.00
,11/28/2024,Credit Card Payment,1120,Card,Pay card,1000 Checking,1572.00,-1666.00
,12/12/2024,Credit Card Charge,1130,Ads,Advertising,6200 Marketing Expense,-1800.00,-3466.00
,12/28/2024,Credit Card Payment,1131,Card,Pay card,1000 Checking,1620.00,-1846.00
,01/12/2025,Credit Card Charge,1141,Ads,Advertising,6200 Marketing Expense,-1853.00,-3699.00
,01/28/2025,Credit Card Payment,1142,Card,Pay card,1000 Checking,1668.00,-2031.00
,02/12/2025,Credit Card Charge,1152,Ads,Advertising,6200 Marketing Expense,-1909.00,-3940.00
,02/28/2025,Credit Card Payment,1153,Card,Pay card,1000 Checking,1718.00,-2222.00
,03/12/2025,Credit Card Charge,1163,Ads,Advertising,6200 Marketing Expense,-1966.00,-4188.00
,03/28/2025,Credit Card Payment,1164,Card,Pay card,1000 Checking,1769.00,-2419.00
,04/12/2025,Credit Card Charge,1174,Ads,Advertising,6200 Marketing Expense,-2025.00,-4444.00
,04/28/2025,Credit Card Payment,1175,Card,Pay card,1000 Checking,1823.00,-2621.00
,05/12/2025,Credit Card Charge,1185,Ads,Advertising,6200 Marketing Expense,-2086.00,-4707.00
,05/28/2025,Credit Card Payment,1186,Card,Pay card,1000 Checking,1877.00,-2830.00
,06/12/2025,Credit Card Charge,1196,Ads,Advertising,6200 Marketing Expense,-2149.00,-4979.00
,06/28/2025,Credit Card Payment,1197,Card,Pay card,1000 Checking,1934.00,-3045.00
,07/12/2025,Credit Card Charge,1207,Ads,Advertising,6200 Marketing Expense,-2213.00,-5258.00
,07/28/2025,Credit Card Payment,1208,Card,Pay card,1000 Checking,1992.00,-3266.00
,08/12/2025,Credit Card Charge,1218,Ads,Advertising,6200 Marketing Expense,-2280.00,-5546.00
,08/28/2025,Credit Card Payment,1219,Card,Pay card,1000 Checking,2052.00,-3494.00
,09/12/2025,Credit Card Charge,1229,Ads,Advertising,6200 Marketing Expense,-2348.00,-5842.00
,09/28/2025,Credit Card Payment,1230,Card,Pay card,1000 Checking,2113.00,-3729.00
,10/12/2025,Credit Card Charge,1240,Ads,Advertising,6200 Marketing Expense,-2418.00,-6147.00
,10/28/2025,Credit Card Payment,1241,Card,Pay card,1000 Checking,2176.00,-3971.00
,11/12/2025,Credit Card Charge,1251,Ads,Advertising,6200 Marketing Expense,-2491.00,-6462.00
,11/28/2025,Credit Card Payment,1252,Card,Pay card,1000 Checking,2242.00,-4220.00
,12/12/2025,Credit Card Charge,1262,Ads,Advertising,6200 Marketing Expense,-2566.00,-6786.00
,12/28/2025,Credit Card Payment,1263,Card,Pay card,1000 Checking,2309.00,-4477.00
,01/12/2026,Credit Card Charge,1273,Ads,Advertising,6200 Marketing Expense,-2643.00,-7120.00
,01/28/2026,Credit Card Payment,1274,Card,Pay card,1000 Checking,2379.00,-4741.00
,02/12/2026,Credit Card Charge,1284,Ads,Advertising,6200 Marketing Expense,-2722.00,-7463.00
,02/28/2026,Credit Card Payment,1285,Card,Pay card,1000 Checking,2450.00,-5013.00
,03/12/2026,Credit Card Charge,1295,Ads,Advertising,6200 Marketing Expense,-2804.00,-7817.00
,03/28/2026,Credit Card Payment,1296,Card,Pay card,1000 Checking,2524.00,-5293.00
,04/12/2026,Credit Card Charge,1306,Ads,Advertising,6200 Marketing Expense,-2888.00,-8181.00
,04/28/2026,Credit Card Payment,1307,Card,Pay card,1000 Checking,2599.00,-5582.00
,05/12/2026,Credit Card Charge,1317,Ads,Advertising,6200 Marketing Expense,-2974.00,-8556.00
,05/28/2026,Credit Card Payment,1318,Card,Pay card,1000 Checking,2677.00,-5879.00
,06/12/2026,Credit Card Charge,1328,Ads,Advertising,6200 Marketing Expense,-3064.00,-8943.00
,06/28/2026,Credit Card Payment,1329,Card,Pay card,1000 Checking,2758.00,-6185.00
,07/12/2026,Credit Card Charge,1339,Ads,Advertising,6200 Marketing Expense,-3155.00,-9340.00
,07/28/2026,Credit Card Payment,1340,Card,Pay card,1000 Checking,2840.00,-6500.00
,08/12/2026,Credit Card Charge,1350,Ads,Advertising,6200 Marketing Expense,-3250.00,-9750.00
,08/28/2026,Credit Card Payment,1351,Card,Pay card,1000 Checking,2925.00,-6825.00
,09/12/2026,Credit Card Charge,1361,Ads,Advertising,6200 Marketing Expense,-3348.00,-10173.00
,09/28/2026,Credit Card Payment,1362,Card,Pay card,1000 Checking,3013.00,-7160.00
,10/12/2026,Credit Card Charge,1372,Ads,Advertising,6200 Marketing Expense,-3448.00,-10608.00
,10/28/2026,Credit Card Payment,1373,Card,Pay card,1000 Checking,3103.00,-7505.00
,11/12/2026,Credit Card Charge,1383,Ads,Advertising,6200 Marketing Expense,-3551.00,-11056.00
,11/28/2026,Credit Card Payment,1384,Card,Pay card,1000 Checking,3196.00,-7860.00
,12/12/2026,Credit Card Charge,1394,Ads,Advertising,6200 Marketing Expense,-3658.00,-11518.00
,12/28/2026,Credit Card Payment,1395,Card,Pay card,1000 Checking,3292.00,-8226.00
Total for 2100 Credit Card,,,,,,,-8226.00,-8226.00
3000 Owners Equity,,,,,,,,
,01/02/2024,Deposit,1001,Owner,Opening capital,1000 Checking,-60000.00,-60000.00
Total for 3000 Owners Equity,,,,,,,-60000.00,-60000.00
4000 Product Revenue,,,,,,,,
,01/05/2024,Invoice,1002,Customer,Monthly product sales,1200 Accounts Receivable,-15000.00,-15000.00
,02/05/2024,Invoice,1013,Customer,Monthly product sales,1200 Accounts Receivable,-15375.00,-30375.00
,03/05/2024,Invoice,1024,Customer,Monthly product sales,1200 Accounts Receivable,-15759.00,-46134.00
,04/05/2024,Invoice,1035,Customer,Monthly product sales,1200 Accounts Receivable,-16153.00,-62287.00
,05/05/2024,Invoice,1046,Customer,Monthly product sales,1200 Accounts Receivable,-16557.00,-78844.00
,06/05/2024,Invoice,1057,Customer,Monthly product sales,1200 Accounts Receivable,-16971.00,-95815.00
,07/05/2024,Invoice,1068,Customer,Monthly product sales,1200 Accounts Receivable,-17395.00,-113210.00
,08/05/2024,Invoice,1079,Customer,Monthly product sales,1200 Accounts Receivable,-17830.00,-131040.00
,09/05/2024,Invoice,1090,Customer,Monthly product sales,1200 Accounts Receivable,-18276.00,-149316.00
,10/05/2024,Invoice,1101,Customer,Monthly product sales,1200 Accounts Receivable,-18733.00,-168049.00
,11/05/2024,Invoice,1112,Customer,Monthly product sales,1200 Accounts Receivable,-19201.00,-187250.00
,12/05/2024,Invoice,1123,Customer,Monthly product sales,1200 Accounts Receivable,-19681.00,-206931.00
,01/05/2025,Invoice,1134,Customer,Monthly product sales,1200 Accounts Receivable,-20173.00,-227104.00
,02/05/2025,Invoice,1145,Customer,Monthly product sales,1200 Accounts Receivable,-20678.00,-247782.00
,03/05/2025,Invoice,1156,Customer,Monthly product sales,1200 Accounts Receivable,-21195.00,-268977.00
,04/05/2025,Invoice,1167,Customer,Monthly product sales,1200 Accounts Receivable,-21724.00,-290701.00
,05/05/2025,Invoice,1178,Customer,Monthly product sales,1200 Accounts Receivable,-22268.00,-312969.00
,06/05/2025,Invoice,1189,Customer,Monthly product sales,1200 Accounts Receivable,-22824.00,-335793.00
,07/05/2025,Invoice,1200,Customer,Monthly product sales,1200 Accounts Receivable,-23395.00,-359188.00
,08/05/2025,Invoice,1211,Customer,Monthly product sales,1200 Accounts Receivable,-23980.00,-383168.00
,09/05/2025,Invoice,1222,Customer,Monthly product sales,1200 Accounts Receivable,-24579.00,-407747.00
,10/05/2025,Invoice,1233,Customer,Monthly product sales,1200 Accounts Receivable,-25194.00,-432941.00
,11/05/2025,Invoice,1244,Customer,Monthly product sales,1200 Accounts Receivable,-25824.00,-458765.00
,12/05/2025,Invoice,1255,Customer,Monthly product sales,1200 Accounts Receivable,-26469.00,-485234.00
,01/05/2026,Invoice,1266,Customer,Monthly product sales,1200 Accounts Receivable,-27131.00,-512365.00
,02/05/2026,Invoice,1277,Customer,Monthly product sales,1200 Accounts Receivable,-27809.00,-540174.00
,03/05/2026,Invoice,1288,Customer,Monthly product sales,1200 Accounts Receivable,-28504.00,-568678.00
,04/05/2026,Invoice,1299,Customer,Monthly product sales,1200 Accounts Receivable,-29217.00,-597895.00
,05/05/2026,Invoice,1310,Customer,Monthly product sales,1200 Accounts Receivable,-29947.00,-627842.00
,06/05/2026,Invoice,1321,Customer,Monthly product sales,1200 Accounts Receivable,-30696.00,-658538.00
,07/05/2026,Invoice,1332,Customer,Monthly product sales,1200 Accounts Receivable,-31464.00,-690002.00
,08/05/2026,Invoice,1343,Customer,Monthly product sales,1200 Accounts Receivable,-32250.00,-722252.00
,09/05/2026,Invoice,1354,Customer,Monthly product sales,1200 Accounts Receivable,-33056.00,-755308.00
,10/05/2026,Invoice,1365,Customer,Monthly product sales,1200 Accounts Receivable,-33883.00,-789191.00
,11/05/2026,Invoice,1376,Customer,Monthly product sales,1200 Accounts Receivable,-34730.00,-823921.00
,12/05/2026,Invoice,1387,Customer,Monthly product sales,1200 Accounts Receivable,-35598.00,-859519.00
Total for 4000 Product Revenue,,,,,,,-859519.00,-859519.00
4100 Consulting Revenue,,,,,,,,
,01/06/2024,Invoice,1003,Client,Consulting engagement,1200 Accounts Receivable,-6000.00,-6000.00
,02/06/2024,Invoice,1014,Client,Consulting engagement,1200 Accounts Receivable,-6150.00,-12150.00
,03/06/2024,Invoice,1025,Client,Consulting engagement,1200 Accounts Receivable,-6304.00,-18454.00
,04/06/2024,Invoice,1036,Client,Consulting engagement,1200 Accounts Receivable,-6461.00,-24915.00
,05/06/2024,Invoice,1047,Client,Consulting engagement,1200 Accounts Receivable,-6623.00,-31538.00
,06/06/2024,Invoice,1058,Client,Consulting engagement,1200 Accounts Receivable,-6788.00,-38326.00
,07/06/2024,Invoice,1069,Client,Consulting engagement,1200 Accounts Receivable,-6958.00,-45284.00
,08/06/2024,Invoice,1080,Client,Consulting engagement,1200 Accounts Receivable,-7132.00,-52416.00
,09/06/2024,Invoice,1091,Client,Consulting engagement,1200 Accounts Receivable,-7310.00,-59726.00
,10/06/2024,Invoice,1102,Client,Consulting engagement,1200 Accounts Receivable,-7493.00,-67219.00
,11/06/2024,Invoice,1113,Client,Consulting engagement,1200 Accounts Receivable,-7681.00,-74900.00
,12/06/2024,Invoice,1124,Client,Consulting engagement,1200 Accounts Receivable,-7873.00,-82773.00
,01/06/2025,Invoice,1135,Client,Consulting engagement,1200 Accounts Receivable,-8069.00,-90842.00
,02/06/2025,Invoice,1146,Client,Consulting engagement,1200 Accounts Receivable,-8271.00,-99113.00
,03/06/2025,Invoice,1157,Client,Consulting engagement,1200 Accounts Receivable,-8478.00,-107591.00
,04/06/2025,Invoice,1168,Client,Consulting engagement,1200 Accounts Receivable,-8690.00,-116281.00
,05/06/2025,Invoice,1179,Client,Consulting engagement,1200 Accounts Receivable,-8907.00,-125188.00
,06/06/2025,Invoice,1190,Client,Consulting engagement,1200 Accounts Receivable,-9130.00,-134318.00
,07/06/2025,Invoice,1201,Client,Consulting engagement,1200 Accounts Receivable,-9358.00,-143676.00
,08/06/2025,Invoice,1212,Client,Consulting engagement,1200 Accounts Receivable,-9592.00,-153268.00
,09/06/2025,Invoice,1223,Client,Consulting engagement,1200 Accounts Receivable,-9832.00,-163100.00
,10/06/2025,Invoice,1234,Client,Consulting engagement,1200 Accounts Receivable,-10077.00,-173177.00
,11/06/2025,Invoice,1245,Client,Consulting engagement,1200 Accounts Receivable,-10329.00,-183506.00
